id	link	name	owner_name	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	owner_link	catalog_export	api_status
vicroadsopendatavicroadsmapsopendataarcgiscom	https://vicroadsopendata.vicroadsmaps.opendata.arcgis.com	Vic Roads Open Data	State Government of Victoria	Geoportal	Regional government	ArcGIS Hub	EN	dataset,map_layer	open	Australia	geospatial,government,has_api	active	True			active
exploredataabsgovau	https://explore.data.abs.gov.au	Australian Bureau of Statistics .Stat data explorer		Indicators catalog	Central government	.Stat Suite	EN	indicator	open	Australia	statistics,government	active				uncertain
ballaratopendataorgau	https://ballaratopendata.org.au	Ballarat Open Data		Open data portal	Community	CKAN	EN	dataset	open	Australia	has_api	active	True			active
cataloguedatawagovau	https://catalogue.data.wa.gov.au	Data WA	Government of Western Australia	Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
data2cerdieduau	https://data2.cerdi.edu.au	FedUni research data catalogu	Centre for eResearch and Digital Innovation	Open data portal	Academy	CKAN	EN	dataset	open	Australia	has_api	active	True	https://cerdi.edu.au		active
dataaurinorgau	https://data.aurin.org.au	AURIN Data Catalogue		Open data portal	Academy	CKAN	EN	dataset	open	Australia	has_api	active	True			active
databallaratvicgovau	https://data.ballarat.vic.gov.au	City of Ballarat Data Exchange	City of Ballarat	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://www.ballarat.vic.gov.au		uncertain
databrisbaneqldgovau	https://data.brisbane.qld.gov.au	Data | Brisbane City Council	Brisbane City Council	Open data portal	Local government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
datacamdennswgovau	https://data.camden.nsw.gov.au	Camden City Council Open Data Portal	Camden City Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://www.camden.nsw.gov.au		uncertain
datacampbelltownnswgovau	https://data.campbelltown.nsw.gov.au	Campbelltown City Council Open Data Portal	Campbelltown City Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://www.campbelltown.nsw.gov.au		uncertain
datacaseyvicgovau	https://data.casey.vic.gov.au	Casey City Council Open Data Portal	Casey City Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://www.casey.vic.gov.au		uncertain
datacorangamitevicgovau	https://data.corangamite.vic.gov.au	Corangamite Shire Council Data Portal	Corangamite Shire Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://frankston.vic.gov.au		uncertain
datactgovau	https://www.data.act.gov.au	ACT Government Open Data Portal		Open data portal	Regional government	Socrata	EN	dataset	open	Australia	government	active				uncertain
