id	link	name	owner_name	owner_link	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	catalog_export	api_status
wwwgeoportalcl	http://www.geoportal.cl	Chile Geoportal	Ministerio de Bienes Nacionales	https://www.bienesnacionales.cl	Geoportal	Central government	ArcGIS Server	ES	dataset,map_layer	open	Chile	geospatial	active	TRUE		uncertain
statinecl	https://stat.ine.cl	.STAT Chile	National Institute of Statistics (INE)	https://ine.cl	Indicators catalog	Central government	.Stat Suite	ES	indicator	open	Chile	statistics,government	active			active
datagoreloslagoscl	https://data.goreloslagos.cl	Data Los Lagos	Gobierno Regional de Los Lagos	https://goreloslagos.cl	Open data portal	Local government	Custom software	ES	dataset,indicator	open	Chile	government	active			uncertain
datosgobcl	https://datos.gob.cl	Portal de Datos Abiertos Chile	Ministerio de la Secretaría General de la Presidencia 	https://digital.gob.cl	Open data portal	Central government	CKAN	ES	dataset	open	Chile	government,has_api	active	TRUE		active
datosobservatoriologisticocl	https://datos.observatoriologistico.cl	Catálogo de recursos de datos del Observatorio Logístico	Observatorio Logístico	https://observatoriologistico.cl	Open data portal	Central government	Junar	ES	dataset	open	Chile	government	active			uncertain
datosretcmmagobcl	https://datosretc.mma.gob.cl	El Registro de Emisiones y Transferencias de Contaminantes (RETC)	Ministerio del Medio Ambiente	https://mma.gob.cl	Open data portal	Central government	CKAN	ES	dataset	open	Chile	government,has_api	active	TRUE		active
datostechoorg	http://datos.techo.org	TECHO Datos Abiertos	TECHO International	https://techo.org	Open data portal	Civil society	CKAN	ES	dataset	open	Chile	has_api	active	TRUE		active
datavudeccl	https://datav.udec.cl	Repositorio de datos de la Universidad de Concepción	Universidad de Concepción	https://udec.cl	Scientific data repository	Academy	Dataverse	ES	dataset	open	Chile	scientific,has_api	active	TRUE		active
datosuchilecl	https://datos.uchile.cl	Repositorio de datos de investigación de la Universidad de Chile	Universidad de Chile	https://uchile.cl	Scientific data repository	Academy	Dataverse	ES	dataset	open	Chile	scientific,has_api	active	TRUE		active
cmrdataforestatlasorg	https://data-minfof.opendata.arcgis.com	Ministry of Forest and Wildlife Open Data Portal	Ministry of Forest and Wildlife Cameroon	https://mininfof.cm	Geoportal	Central government	ArcGIS Hub	FR	dataset,map_layer	open	Cameroon	geospatial,government,has_api	active	TRUE		active
statcmnada	https://stat.cm/nada	Institut National de la Statistique du Cameroun Microdata catalog	Institut National de la Statistique du Cameroun	https://www.stat.cm	Microdata catalog	Central government	NADA	FR	microdata	open,limited	Cameroon	government,has_api,microdata	active	TRUE		uncertain
geodatacn	https://www.geodata.cn	National Earth System Science Data Center	National Earth System Science Data Center	https://www.geodata.cn	Geoportal	Academy	Custom software	zh_CN	dataset,map_layer	open	China	geospatial,government	active			uncertain
hyperaidatasets	https://hyper.ai/datasets	Hyper AI datasets	Hyper AI	https://hyper.ai	Machine learning catalog	Business	Custom software	zh_CN	dataset	open	China		active			uncertain
datahangzhougovcn	https://data.hangzhou.gov.cn	Hanzhou Open Data Platform	City of Hanzhou	https://hangzhou.gov.cn	Open data portal	Local government	Custom software	zh_CN	dataset	open	China	government	active			uncertain
datalngovcn	http://data.ln.gov.cn	Liaoning Open Data Platform	City of Liaoning	https://ln.gov.cn	Open data portal	Local government	Custom software	zh_CN	dataset	open	China	government	active			uncertain
dataxmgovcn	http://data.xm.gov.cn	Xiamen Open Data Platform	City of Xiamen	https://xm.gov.cn	Open data portal	Local government	Custom software	zh_CN	dataset	open	China	government	active			uncertain
datatpdcaccn	https://data.tpdc.ac.cn	National Tibetan Plateau Data Center	National Tibetan Plateau Data Center	https://tpdc.ac.cn	Scientific data repository	Academy	Custom software	EN,zh_CN	dataset	open,limited	China	scientific	active			uncertain
dvnfudaneducn	https://dvn.fudan.edu.cn	Fudan University Dataverse	Fudan University	https://fudan.edu.cn	Scientific data repository	Academy	Dataverse	zh_CN	dataset	open	China	scientific,has_api	active	TRUE		deprecated
opendatapkueducn	https://opendata.pku.edu.cn	Peking University Dataverse	Peking University	https://pku.edu.cn	Scientific data repository	Academy	Dataverse	zh_CN	dataset	open	China	scientific,has_api	active	TRUE		active
scidbcn	https://scidb.cn	Science Data Bank	Computer Network Information Center, Chinese Academy of Sciences.	http://english.cnic.cas.cn	Scientific data repository	Academy	Custom software	EN,zh_CN	dataset	open	China	scientific	active			uncertain
aplicacionessiatacco	https://aplicaciones.siatac.co/geonetwork	Catalogo Geonetwork - Siatac	Instituto Amazónico de Investigaciones Científicas SINCHI	https://siatac.co	Geoportal	Academy	Geonetwork	ES,EN	dataset,map_layer	open	Colombia	geospatial,has_api	active	TRUE		active
geonetworkhumboldtorgco	http://geonetwork.humboldt.org.co/geonetwork	Geonetwork I2D	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	https://humbold.org.co	Geoportal	Academy	Geonetwork	ES,EN	dataset,map_layer	open	Colombia	geospatial,has_api	active	TRUE		active
geonetworkminambientegovco	http://geonetwork.minambiente.gov.co/geonetwork	Catálogo de Metadatos del Ministerio de Ambiente y Desarrollo Sostenible	Ministerio de Ambiente y Desarrollo Sostenible	https://minambiente.gov.co	Geoportal	Central government	Geonetwork	ES,EN	dataset,map_layer	open	Colombia	geospatial,has_api	active	TRUE		active
inviasopendatainviasopendataarcgiscom	https://inviasopendata-invias.opendata.arcgis.com/	Portal Datos Abiertos del Instituto Nacional de Vías	Instituto Nacional de Vías	https://www.invias.gov.co	Geoportal	Central government	ArcGIS Hub	ES	dataset,map_layer	open	Colombia	geospatial,has_api	active	TRUE		active
metadatosicdegovco	http://metadatos.icde.gov.co/geonetwork	Infraestructura Colombiana de Datos Espaciales metadatos	Infraestructura Colombiana de Datos Espaciales	https://www.icde.gov.co	Geoportal	Central government	Geonetwork	ES,EN	dataset,map_layer	open	Colombia	geospatial,has_api	active	TRUE		active
inviasopendatainviasopendataarcgiscom	https://siac-datosabiertos-mads.hub.arcgis.com	Sistema de Información Ambiental de Colombia Open Data	Sistema de Información Ambiental de Colombia	http://www.siac.gov.co	Geoportal	Central government	ArcGIS Hub	ES	dataset,map_layer	open	Colombia	geospatial,has_api	active	TRUE		active
andadnpgovco	https://anda.dnp.gov.co/index.php	Archivo national de datos Colombia	The National Planning Department	https://dnp.gov.co	Microdata catalog	Central government	NADA	ES	dataset	open,limited	Colombia	government,has_api,microdata	active	TRUE		active
microdatosdanegovco	https://microdatos.dane.gov.co/index.php	Archivo national de datos Colombia	DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA - DANE	https://dane.gov.co	Microdata catalog	Central government	NADA	ES	dataset	open,limited	Colombia	government,has_api,microdata	active	TRUE		active
datagovco	https://data.gov.co	Datos Abiertos Colombia	Ministerio de Tecnologías de la Información y las Comunicaciones	https://www.gov.co	Open data portal	Central government	Socrata	ES,EN	dataset	open	Colombia	government,has_api	active	TRUE		active
datosabiertosbogotagovco	https://datosabiertos.bogota.gov.co	Datos Abiertos Bogotá	City of Bogota	https://www.bogota.gov.co	Open data portal	Local government	CKAN	ES	dataset	open	Colombia	government,has_api	active	TRUE		active
datoscaligovco	https://datos.cali.gov.co	Datos Abiertos Cali	City of Cali	https://www.cali.gov.co	Open data portal	Local government	CKAN	ES	dataset	open	Colombia	government,has_api	active	TRUE		active
researchdataurosarioeduco	https://research-data.urosario.edu.co	Repositorio de Datos de Investigación Universidad del Rosario	Universidad del Rosario	https://urosario.edu.co	Scientific data repository	Academy	Dataverse	ES	dataset	open	Colombia	scientific,has_api	active	TRUE		active
