dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
opendosmgovmy,Open DOSM (Statistics of Malaysia),open.dosm.gov.my,EN,Open data portal,Open,Dataset,Malaysia,Government,Custom software,,24.3.2023,24.3.2023 00:00,,,,,,,,,
openkgcn,开放知识图谱,openkg.cn,zh_CN,Open data portal,Open,Dataset,China,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://openkg.cn/api/3
openmlorg,OpenML Datasets,openml.org,EN,Machine learning catalog,Open,Dataset,World,Civil society,Custom software,,23.3.2023,23.3.2023 00:00,,,,,,,,,
openottawaca,Open Ottawa,open.ottawa.ca,EN,Open data portal,Open,Dataset,Canada,Government,ArcGIS Hub,"DCAT AP 2.0.1,OGC Records API,DCAT US 1.1",23.3.2023,23.3.2023 00:00,https://od-dev2-ottawa.opendata.arcgis.com/api/feed/dcat-ap/2.0.1.json,,,,,,,,
opensciencedataesaint,ESA Open Science Catalog,opensciencedata.esa.int,EN,Scientific data repository,Open,Dataset,European Union,Academy,Custom software,,24.3.2023,24.3.2023 00:00,,,,,,,,,
openstavangerkommuneno,Åpne data Stavangerregionen,opencom.no,NO,Open data portal,Open,Dataset,Norway,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opencom.no/api/3
openyukonca,Open Data Government of Yukon,https://open.yukon.ca/data,EN,Open data portal,Open,Dataset,Canada,Government,DKAN,,23.3.2023,23.3.2023 00:00,,,,,,,,,
opingognis,Opin gögn,opingogn.is,IS,Open data portal,Open,Dataset,Iceland,Government,CKAN,CKAN API,,,,,,,,,,checked,https://opingogn.is/api/3
osfio,Open Science Framework,osf.io,EN,Scientific data repository,Open,Dataset,World,Academy,Custom software,,25.3.2023,25.3.2023 00:00,,,,,,,,,
ouvertcanadaca,Open by Default Portal,ouvert.canada.ca,EN,Open data portal,Open,Dataset,Canada,Government,CKAN,CKAN API,,,,,,,,,,checked,https://ouvert.canada.ca/ckan/api/3
pacificdataorg,pacificdata.org,pacificdata.org,EN,Open data portal,Open,Dataset,Oceania,International,CKAN,CKAN API,20.3.2023,20.3.2023 11:23,,,,,,,,checked,
pacificdataorg,Pacific Data Hub,pacificdata.org,EN,Open data portal,Open,Dataset,Oceania,International,CKAN,CKAN API,,,,,,,,,,checked,https://pacificdata.org/data/api/3
pangaeade,PANGAEA,pangaea.de,EN,Scientific data repository,Open,Dataset,Germany,Academy,Custom software,,26.3.2023,26.3.2023 00:00,,,,,,,,,
paperswithcodecom,Papers with code datasets,https://paperswithcode.com/datasets,EN,Machine learning catalog,Open,Dataset,World,Community,Custom software,,,,,,,,,,,,
pcaxisgeostatge,GeoStat Statistics Database,http://pc-axis.geostat.ge/PXWeb/pxweb/en/Database/,EN,Indicators catalog,Open,Indicator,Georgia,Government,PxWeb,,26.3.2023,26.3.2023 00:00,,,,,,,,,
phoenixopendatacom,City of Phoenix Open Data,phoenixopendata.com,EN,Open data portal,Open,Dataset,United States,Government,CKAN,CKAN API,,,,,,,,,,checked,https://phoenixopendata.com/api/3
podatkigovsi,OPSI,podatki.gov.si,SL,Open data portal,Open,Dataset,Slovenia,Government,CKAN,CKAN API,,,,,,,,,,checked,https://podatki.gov.si/api/3
portalaiglobalorg,Responsible AI Portal,portal.ai-global.org,EN,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,https://portal.ai-global.org/api/3
